message_ok,count
consultar infracciones transito,90468
infracciones,65963
estacionar,55447
multas,48922
turno,45814
telepase,35834
ensayo filarmonica,34827
estacionamiento,30736
turnos,28152
blanqueo cuenta miba,26858
renovar licencia,22338
consultar multas hacer descargo videollamada,19945
chatear,18950
cancelar,15543
ciudadania portena,15507
salud,15284
sacar turno,15189
cancelar turno salud,14558
turno medico,13976
validar identidad,12564
licencia,11599
contactarme equipo termina secundaria,11184
licencia conducir,10552
multa,10417
cedetac,9967
hacerte consulta,9402
revisar multas,9246
licencias,8849
infraccion,8096
auto mal estacionado,7825
hablar alguien,7494
dni,7360
confirmar turno,7307
pagar multa,7231
vacunas,6996
vacuna,6895
rendir recibo,6795
vacuna antigripal,6782
sacar entrada ver ensayos orquesta filarmonica,6341
escombros,6209
ayudas tramitar certificado,6159
actualizar datos cuil,6136
chau,6083
denuncia vial,5937
pagar,5690
retiro escombros,5652
abl,5389
menu,5367
cancelar turno,5218
infracciones transito,5201
vtv,5027
sirve linea 108,5015
otorgamiento,4984
vacunacion,4782
infracciones whatsapp,4697
renovacion licencia,4665
turno salud,4518
oftalmologia,4346
filarmonica,4345
patente,4302
partida nacimiento,4264
certificado domicilio,4189
suscribirme novedades ciudad,4128
boleto estudiantil,4126
agip,4113
renovacion licencia conducir,4091
ayuda,4020
consultar detalles inspeccion local,3920
pagar multas,3843
inscripcion escolar,3833
teatro colon,3769
resonancia,3605
tramite,3598
consulta infracciones,3581
renovar licencia conducir,3449
vehiculo mal estacionado,3356
denuncia,3310
audiencia virtual,3292
listo,3212
hablar operador,3204
habla agip,3162
consultar solicitud,3147
miba,3094
odontologia,2967
chatear alguien,2948
blanqueo cuenta,2917
patentes,2843
mamografia,2828
registro,2817
libre deuda,2783
hablar persona,2712
hospital,2692
turnos medicos,2668
turnos salud,2660
antigripal,2571
turno hospital,2564
pagar infraccion,2542
salir,2533
confirmo turno,2521
pagar infracciones,2504
pago voluntario,2476
habitacional,2463
noches,2422
consulta,2404
auto,2396
orquesta filarmonica,2292
mal estacionado,2287
consultar,2271
multas transito,2138
vacuna gripe,2126
dermatologia,2112
hol,2111
cambiar turno,2080
renovacion,2070
partida nacimiento online,2058
paso,2051
audiencia,2036
castracion,1960
covid,1952
cuenta,1949
tomografia,1946
olvide contrasena,1945
controlador,1919
renovar registro,1918
sube,1899
traumatologia,1897
consultar ciudadania portena,1877
reclamo,1870
clinica medica,1851
mas,1790
verificacion policial,1786
turno controlador,1756
vacuna covid,1747
entrar,1729
crear cuenta,1723
subsidio habitacional,1721
vehiculo,1688
hablar representante,1669
recorrer bam,1662
dale,1641
poda,1619
adultos 2000,1605
tramites,1604
renovacion registro,1592
turno vacuna antigripal,1574
inscripcion,1564
consultar multas,1556
cesac,1546
cardiologia,1538
tad,1498
recoleccion programada,1485
renovar dni,1479
operador,1445
basura,1432
confirmar,1432
auto abandonado,1426
contrasena,1417
cursos,1415
gripe,1408
pedir turno,1408
puede estacionar,1398
cud,1396
registro conducir,1381
bueno,1366
confirmo,1364
recuperar contrasena,1356
fin,1346
imprimir boleta,1327
hablar asesor,1317
cambie domicilio dni renovar licencia,1306
holaa,1287
acabo participar capacitacion agentes calle,1286
sacar licencia,1260
turismo ciudad,1250
ingresar,1247
infraccion transito,1239
hospitales,1220
info licencias conducir,1219
estaciono,1214
consultar infracciones,1201
ensayos filarmonica,1199
adios,1195
cambio domicilio,1183
hols,1177
ginecologia,1169
colon,1168
sacar turno hacerme estudio,1162
neurologia,1162
asesor,1161
turno presencial,1159
becas,1158
descargo,1158
mal estacionamiento,1152
hablar humano,1151
terminar secundario,1149
nivel,1144
bien,1142
turno vacuna,1138
pasaporte,1137
gastroenterologia,1122
comprobante plan pago vencido,1119
turno dni,1117
voluminosos,1103
recoleccion escombros,1097
escombro,1097
defensa consumidor,1088
recuperacion cuenta,1081
puntos,1076
scoring,1054
vacunacion antigripal,1045
pago,1043
solicitar turno,1043
consultar turno,1041
ver,998
endocrinologia,987
ruidos molestos,984
otorgamiento licencia,983
turno vtv,973
infraciones,971
imprimir boletas,966
residuos,965
ausa,961
ingresos brutos,953
turno infracciones,950
consultar turnos,949
perfil,935
sacar turno medico,933
blanquear cuenta,925
sube estudiantil,920
educacion,917
solicitud,901
ahora,901
deuda patente,897
chatear operador,897
dengue,883
holaaa,880
turno odontologia,872
deuda,870
renovar,866
hablar controlador,861
turno vacunacion,856
terminar secundaria,856
ensayo,854
controlador faltas,838
trabajo,833
hacer descargo,828
humano,825
contenedor,824
boleta abl,822
subte,817
vereda,817
cuenta miba,814
discapacidad,813
recoleccion,812
reportar vehiculo,803
bui,801
ver multas,799
tele pase,798
boty,787
retiro poda,786
plan pago vencido,785
turno oftalmologia,784
denunciar auto mal estacionado,773
hice,760
turnos hospital,756
renovacion dni,753
transito,753
retiro escombro,745
hacer reclamo,745
vacunatorios,744
pague,742
ensayo filarmonico,739
cambiar contrasena,738
okey,738
mensaje momento podemos responder haremos posible,735
renovacion registro conducir,735
laboratorio,728
espero,718
confirmado,717
cesacs,714
resonancia magnetica,711
acarreo,704
hablar agente,703
entrar miba,698
pediatria,691
pago voluntario infracciones,689
reprogramar turno,682
turno virtual,674
clave,674
presencial,673
favor,661
consulta multas,661
comuna,654
beca alimentaria,652
vacuna dengue,646
recuperar cuenta,645
casamiento,642
turno licencia conducir,642
ecografia,642
retirar escombros,637
igualmente,635
finalizar,632
residuos voluminosos,629
permitido estacionar,627
hoka,627
baja,624
resolver controlador,623
pase cultural,623
cenat,622
denunciar,618
entrar cuenta,617
confirmar turnos,616
turno ginecologia,616
blanqueo,615
barrio colon,612
hablar,611
multa transito,610
tal,606
salud mental,604
mascotas,603
linea 102,599
multas caba,598
direccion,598
subsidio habitacional 690,591
funciona app,588
vacunatorio,588
ingresar miba,581
pagar infraccion transito,579
pagar infracciones transito,576
desuscribirme,574
cuidadania portena,570
ola,570
partida,569
manipulacion alimentos,566
rendir recibo habitacional,566
turno licencia,565
boleto universitario,565
fiebre amarilla,565
poda arboles,564
pagar bui,561
turno boleto estudiantil,560
otorgamiento licencia conducir,560
pago multas,548
sacar turno hospital,545
147,542
turno vacunas,541
ver turnos,541
descargo multa,536
clave ciudad,534
partida matrimonio,532
manana,532
pagar multa transito,531
moratoria,531
pago multa,530
dar baja telepase,530
higiene urbana,530
moto,528
videollamada,528
persona,527
sacar licencia conducir,524
clave miba,521
limpieza,519
reclamos,519
barrido,518
medico,517
dentista,516
informacion,515
partida defuncion,515
eventos ciudad,514
vacuna fiebre amarilla,513
vehiculo abandonado,513
partidas nacimiento,513
renovar registro conducir,512
partidas,512
consultar puntos,506
sirve,505
perfecto,505
pagar abl,504
libre deuda infracciones,503
denuncias,502
turnos hospitales,499
sacar partida nacimiento,498
validar,497
turno vacuna gripe,496
opcion,495
hla,491
pago infracciones,487
cambiar tema,485
restos poda,485
turno comuna,485
hago,484
beca,479
podes ayudar,478
turno cesac,478
entradas colon,477
error,477
oftalmologo,476
online,476
matrimonio,475
turno resonancia,472
108,471
hospitales publicos,469
constancia domicilio,466
registrarme,466
funciona,462
luminaria,458
retiro programado,458
mas subtes,457
alergia,456
poda arbol,454
grabado autopartes,453
vacunarme,453
buepp,452
bot club san albano favor ingresa opcion correcta,451
vereda rota,451
saludos,450
pagar estacionamiento,449
grua,446
peaje,445
volver,443
iniciar tramite,442
subir nivel,442
habitacional 690,442
inscripcion escuelas,442
controlador transito,441
terminar,440
desratizacion,438
deuda patentes,435
retiro residuos,434
hacer vtv,433
ampliacion licencia,432
desastre,430
turno pediatria,429
blanqueo clave,427
perdon,425
registro civil,425
numero partida,423
entradas,423
turismo,421
nivel seguridad,417
pague cenat,417
recoleccion residuos,415
revisar infracciones,414
consultar infracciones transitohola consultar infracciones transito,414
confirmo turnos,413
jola,413
revisar multa,413
audiencia online,412
estacionamiento medido,411
ivc,410
entiendo,408
consultar vacante escolar,407
infracciones caba,405
reportar error,405
consulta infracciones transito,404
blanqueo clave miba,404
comprobante,403
resolver infracciones,402
cambiar mail,401
ampliacion,400
deuda telepase,400
ciudadania,400
holis,400
hila,399
curso manipulacion alimentos,397
pagar online,397
hospital publico,396
acta nacimiento,394
retiro muebles,392
ingresar cuenta,390
veredas,389
agendar,389
boleto educativo,389
resonancias,389
boleto,388
charla virtual,388
antecedentes penales,388
sacar turno salud,387
whatsapp,386
renovar pasaporte,384
turno mamografia,382
turno hospitales,381
castraciones,381
app,375
holq,373
urologia,372
hacer denuncia,371
sacar turno controlador,370
turno agip,369
saco turno,369
medico cabecera,369
puntos licencia,369
natacion,368
charla renovacion,368
deuda abl,367
voluminoso,366
hoal,366
abonar,366
turno traumatologia,365
atras,364
validacion identidad,363
turno vacuna covid,363
telepeaje,363
validar identidad miba,362
termina secundaria,361
domicilio,361
ver infracciones,360
acta matrimonio,356
servis,356
curso,356
argentina,354
beca ciudad,354
pediatra,353
hospital fernandez,352
turno renovacion licencia conducir,352
estare,351
acepto,350
tramites turnos,349
traumatologo,349
provincia,348
inscripcion escuela,348
situacion calle,348
hacer,348
movilidad portena,348
sacar libre deuda,343
hablar alguien equipo,342
contenedores,342
holi,341
crear cuenta miba,340
filarmonica colon,339
tarjeta ciudadania portena,339
pagar tarjeta,339
secundaria,339
vacunar,338
diabetologia,336
retencion vehiculo,335
ensayo colon,334
turno dermatologia,334
denuncia mal estacionamiento,332
seguimos,331
cuenta bue,331
iniciar sesion,331
menu principal,328
boleta,327
tarde,327
basura desparramada,326
empleo,326
turno renovar licencia conducir,325
asistire,325
audiencia presencial,322
secundario,322
hematologia,320
arreglo vereda,320
sacar turno dni,318
vacuna neumonia,318
boletas abl,317
deportes,316
baja telepase,315
cambiar fecha,312
pista manejo,311
info ciudadania portena,310
hospital rivadavia,310
solicitudes,310
denunciar vehiculo mal estacionado,307
turno antigripal,306
becas ciudad,304
entradas filarmonica,304
turno laboratorio,304
hacer multa,304
actualizar datos doc cabecera,303
otorrino,303
turno cardiologia,302
sigo esperando,301
saldo,300
homa,300
recibo sueldo,298
sacar certificado domicilio,298
agc,298
representante,298
turno controlador faltas,298
pagarla,298
consulta infraccion,297
agente,296
boleto estudiantil universitario,295
denuncia auto mal estacionado,295
deja,295
vacunacion gripe,294
ginecologa,293
caba,293
plan pago,292
ciudad,292
pagar multas transito,292
asi,291
baja patente,291
descargo multas,290
certificado nacimiento,290
hospital santa lucia,289
mail,289
carnet conducir,287
turno ecografia,287
descargo infraccion,286
multas auto,286
lei,285
veterinaria,285
turno multas,283
ciudania portena,283
gratis,282
consulta turno,282
sacar turnos,281
genial,281
turno tomografia,280
funciona bax,280
cerrar,280
ensayos,279
sacar registro,279
pagar patente,278
dar baja,278
turnos medico,277
equivoque,277
sacar turno vtv,276
telefono,276
pago voluntario multas,275
inscripcion linea,273
hacer consulta,273
turno controlador transito,273
hacer pago voluntario,272
certificado legalidad,272
sigo,271
curso vial,271
numero,270
1150500147,269
info colectivos ciudad,268
atencion,267
turno renovacion licencia,266
pileta,266
turno ciudadania portena,265
