Active	Topic path	Topic	Topic keywords	ID	Name	Triggers	Keywords	Bot Says	Variables	Tags
true				GabiBot-zfa3ea1932@b.m-1741899912160	"gabiasignar111"	""	""	""	[]	[]
true				GabiBot-dui6cupm0g@b.m-1773853083061	"TEST SECRETS"	"(#test.secrets)"	"((#test.secrets))"	""	[]	[]
true				GabiBot-lt1xy6v1py@b.m-1712771055149	"botonera"	"botonera"	"(botonera)"	"botonera \r\ntete"	[]	[]
true				GabiBot-dtoxp7lyos@b.m-1728054234220	"muteado no responde"	"silenciado\r\nmuetado"	"(muetado)"	"test\r\notra  cosa"	[]	[]
true				GabiBot-aiubkauuz3@b.m-1710352678680	"run ca"	"run_ca"	"(run),(ca|cajaahorros|cajaahorro)"	"end\r\nmaximo 3 opciones"	[]	[]
true				GabiBot-egaiejsgob@b.m-1758556570820	"clarotest1234"	"clarotest1234"	"(clarotest1234)"	"te derivo"	[]	[]
true				GabiBot-u6iszju22w@b.m-1772715820886	"test IA ecommerce"	"test ia ecommerce"	"(test|controles|control|controle|controlar|contra),(ecommerce|web),(ia)"	"hola\r\nfin de la conversacion ${respuesta}"	[]	[]
true				GabiBot-vpbj4js57j@b.m-1715012531578	"listado"	""	""	"opccion listado"	[]	[]
true				GabiBot-1tx80grb7c@b.m-1772551447140	"fulfilled of Condição"	""	""	"mensaje"	[]	[]
true				GabiBot-tpt9f964gs@b.m-1742221862379	"esto es regla"	""	""	"texto del boton"	[]	[]
true	Checky Otro	Checky, Otro		GabiBot-pablo@botmaker.io-1494456221839	"Insultos2"	".*\\b(anal|argentuzo|argentuso|argentucho|ass|asshole|assholes|aguebonado|aguebonada|agüevonado|agüevonada|asco|asqueroso|asquerosa|aweonado|aweonada|awebonado|awebonada|awevonado|awevonada|bitch|blow|Blowjob|bolú|bolu|boludo|b0ludo|bolud0|b0lud0|boluda|b0luda|Bullshit|buttfuck|buttfucker|cabron|cabrón|cabrona|cagar|caga|cagarla|cagaste|cagón|cagon|cagona|caramono|caremono|caraculo|careculo|carepito|carapito|carapendejo|carependejo|chupalo|chúpalo|chúpala|chupala|chwdp|cock|Cocks|Cocksucker|cogas|cojas|coger|cojete|cojón|cojon|comecaca|comepollas|comepoyas|concha|conchatumadre|conchadetumadre|conxatumare|conxatumadre|conchetumare|conchatumare|coño|culea|culear|culera|culero|culiado|culiada|culiao|culia|culiad@|culo|Dick|Dickhead|Dicks|encular|enculer|encula|enculada|enculado|enculo|estupido|estúpido|estupida|estúpida|Fellatio|fistfuck|follada|follar|follo|follón|follon|Fook|Fooker|Fooking|foyada|frijolero|Fuck|Fucker|Fuckers|Fucking|Führer|garcha|gilipolla|jilipolla|gilipoya|jilipoya|guevona|hideputa|hijodeputa|hijoputa|hdp|hitler|huevon|huevón|huevona|HWDP|jalabola|jilipollas|jodan|jodas|jodaz|joder|jodido|kaka|caka|kaca|m4nco|malnacida|Malnacido|malparida|malparido|mamada|mamado|mamalo|mámalo|mamarla|mamón|mamon|mamona|manco|manko|manca|maraca|Marica|marico|Maricon|Maricón|maricones|maricona|mariconas|mariconson|mariconsón|mariconzón|mariconzon|mariqueta|mariquis|mexicaca|mejicaca|mexicoño|mejicoño|mejicaño|mexicaño|mierda|m1erda|mierdero|Nazi|negrero|Nigga|Nigger|niggers|Niquer|ojete|ogete|pajear|pajote|panocha|Paragua|pederasta|pedo|pedofila|pedófila|pedofilo|pedófilo|pendeja|pendejo|pendejos|pelotudo|pel0tud0|pelotuda|pel0tuda|pene|pete|pierdol|pierdolona|pinche|pinga|pirobo|pito|pitudo|polla|porno|poronga|poya|Prick|Pricks|prostiputo|prostiputa|prostituir|prostituta|prostituto|proxeneta|Puñeta|Pussy|puta|Putain|Putaso|Putazo|pute|Putete|putillo|putiyo|putito|putita|putitos|putitas|Putiza|puto|putos|putón|qli40|qliao|qli4o|qlia0|qliaos|qli40s|qli4os|qlia0s|ramera|rape|reculia|reculiao|retardado|retrasado|retrazado|rentafuck|sadomaso|sadomasochistic|sadomasoquismo|sadomasoquista|salame|satan|satán|satánico|satanico|scum|scum!|sh1t|sh1te|sh1thead|sh1theads|shag|shaggers|shaggin|shagging|shat|sheep-shaggers|sheepl0ver|sheepl0vers|sheeplover|sheepshaggers|sheethead|sheetheads|sheister|shhit|shit|shít|shit4brains|shitass|shitbag|shitbagger|shitbrains|shitdick|shited|shitface|shitfaced|shitforbrains|shitfuck|shitfucker|shitfull|shithapens|shithappens|shithead|shithole|shithouse|shiting|shitings|shitoutofluck|shits|shitspitter|shitstabber|shitstabbers|shitstain|shitted|shitter|shitters|shittiest|shitting|shittings|shitty|shiz|shiznit|shortfuck|shyte|sidoso|s1doso|slag|slut|slutbag|sluts|slutt|slutting|slutty|slutwear|slutwhore|smackdaddy|smackthemonkey|snortingcoke|sonofabitch|sorete|sonofbitch|soplapollas|soplapoyas|Spunk|Spunkbubble|subnormal|sucker|sudaca|tortillera|tortiyera|Tranny|verga|vergón|vergon|violar|Violer|weon|weona|wheon|weohn|weonh|w3on|wetback|zemen|zooplapollas|zoplapollas|zorra|zorriputa|zudaca|orto|ladrón|pija|cagada|gorila|represor|borda|procesado|garca|hijo de uta|forro|chorro|rata|inútil|trucho|caradura|patético|careta|oligarca|delincuente|hipócrita|mediocre|concha de tu madre|infeliz|atorrante|lacra|derechista|mafioso|chanta|conchuda|tarado|vendepatria|lameculos|ridículo|burgués|ladri|inepto|infradotado|bestia|mentiroso|cagan|putas|choto|hipocrita|trolo|trolos|berreta|botón|concheto|forros|inoperante|chorros|ladrones|tilinga|robar|clausuraste|clausurados|afano|inundadas|mamarracho|mamarrachos|represores|descarados|descarado|cago|morite|clausuraron|vende patria|inútiles|inutil|inutiles|borracha|borracho|ebria|ebrio|alcoholica|alcoholico|copeteada|copeteado|chupada|porong.|idiota|chupamedias|tragasable|paparulo|pelado|imbecil|carajo|cagon?|caca|[ck]ulos?|[sz]oretes?|tere[sz]os?|[kc]oncha|[ck]achucha|te pario|empermatozoide|esperma|se[xs]o oral|co[gj]e|co[gj]ido|garch.|paja|guasca|wasca|trabuco|puterio|cabare)(me|mos|es|s)?\\b.*"	""	"Este espacio está libre de insultos. Probá en otros términos.\ta¿Y si probamos con otras palabras?"	[]	[]
true	Checky	Checky		GabiBot-qjju7ii9k0@b.m-1628257063492	"test recomendacion"	"test_recomendacion"	""	"esto es una recomendacion"	[]	[]
true	Checky	Checky		GabiBot-durpup9hjz@b.m-1643819006093	"test regex"	"test_regex"	""	"entre al regex ${col1}\r\nme fui ${col1}"	[col1]	[]
true	Checky	Checky		GabiBot-pablo@botmaker.io-1515185659230	"Hablar con una persona"	"quiero hablar con una persona"	"(persona|humano|hombre|mujer|agente|operador|vendedor|representante|oficial),(quiero|kiero|necesito|necesitaria|deseo|desearia|quisiera|gustaria|como|forma|manera|modo),(hablar|chatear|contestar|conteste|hablo|chateo|comunico|comunicar)"	"Si querés hablar con un operador, dejá tu mensaje a continuación y pronto te contestará alguien de nuestro Centro de Atención."	[]	[]
true	Checky	Checky		GabiBot-p31kpzabng@b.m-1636512221329	"testtes"	""	""	""	[]	[]
true	Checky	Checky		GabiBot-3jw7qxoea8@b.m-1642113461276	"OTP sample"	""	""	""	[]	[]
true	Checky	Checky		GabiBot-cwv8etu56k@b.m-1637840057298	"otro otro"	""	""	""	[]	[]
false	Checky	Checky		GabiBot-djxbij2fmz@b.m-1642542134063	"inactividad test"	""	""	"esto esta en dev"	[]	[]
true	Checky	Checky		GabiBot-08xuycujyf@b.m-1637263303427	"prod cambio sheet"	"prod_cambio_sheet"	""	"create columnas ${columnados}"	[sheetVar]	[]
true	Checky	Checky		GabiBot-44btwhyvj2@b.m-1642090679113	"prueba rollback"	""	""	"texto inicial updateado dps de publicar2"	[]	[]
true	Checky	Checky		GabiBot-h8nkhivn7u@b.m-1637263493590	"prod cambio enrich"	"prod_cambio_enrich"	""	"enrich cambio ${columnados} ${sheetVar}"	[sheetVar]	[]
true	Checky	Checky		GabiBot-360ab6b346b8b55@bm.com-1637870737291	"test atajo"	""	""	"test"	[]	[]
true	Checky	Checky		GabiBot-gpaob0y1vx@b.m-1642016090173	"testHistory2"	""	""	"testHistory cambio para publicar"	[]	[]
true	Checky	Checky		GabiBot-0kb16dqqhv@b.m-1642101223193	"atest1"	"alerta"	""	"atest1 initial update to publish"	[]	[]
true	Checky	Checky		GabiBot-6bb6880f4b3a498@bm.com-1638456721312	"test_api_process"	"test_api_process"	""	"response from api"	[]	[]
true	Checky	Checky		GabiBot-vaylrymk4i@b.m-1637081080658	"prod sheet enrich"	"prod_sheet_enrich"	""	"ejecute enrich ${columnados}"	[sheetVar]	[]
true	Checky	Checky		GabiBot-ipgl8rif2m@b.m-1637080450826	"prod sheet create"	"prod_sheet_create"	""	"ejecute create"	[]	[]
true	Checky	Checky		GabiBot-pg8ngdruuf@b.m-1636990920718	"cola 1"	""	""	""	[]	[]
false	Checky	Checky		GabiBot-0r76dip5s4@b.m-1642604453186	"inac"	""	""	"inactividad dev"	[]	[]
true	Checky	Checky		GabiBot-kjn38f74n5@b.m-1641568842019	"intent en CONSOLE OPERATOR"	""	""	"intent en CONSOLE OPERATOR"	[]	[]
true	Checky	Checky		GabiBot-9fnpnuzrk0@b.m-1643294070056	"email"	"email"	""	"envie email"	[]	[]
true	Checky	Checky		GabiBot-t25ilko1hc@b.m-1637354986759	"new_enrich"	"new_enrich"	""	"sali new enrich ${columnados}"	[sheetVar]	[]
false	Checky	Checky		GabiBot-eiwyoollpr@b.m-1642604919148	"cola 1 copy"	"otra_queue1"	""	"seteo de cola a queue1"	[]	[]
true	Checky	Checky		GabiBot-qgh69tj0yi@b.m-1637839273138	"otro sheet"	""	""	""	[]	[]
true	Saludos	Saludos		GabiBot-pablo@botmaker.io-1498599840787	"Saludo"	"hola\r\n.{0,10}(\\b|^| )(hol[aiu]|hi|hey|buenas|buen dia|buen[ao]s? (dias?|tarde?s?|noches?)|ola|alo|oi|bonjour|hol|hols|hello|hoal|jola|q(ue)? ?tal)(\\b|$| ){0,10}\r\nque (hubo|hay|mas)\r\nbuen dia\r\nbuenas tardes\r\nhla"	""	"¡Hola ${firstName?if_exists}!\t¡Buenas ${firstName?if_exists}!\t¿Que tal ${firstName?if_exists}?\r\nPodés escribirnos tu pregunta o ver el menú haciendo click aquí ??. ${.now}"	[]	[]
true	Saludos	Saludos		GabiBot-bf77fcdd4daad32@bm.com-1628794408776	"Saludardo"	""	""	"Holanda ¿Qué acelga? ¿Todo viento?"	[]	[]
true				GabiBot-gabi@botmaker.io-1583761575851	"limpiar cookies"	"clear_cookies"	""	"limpie todo 22"	[]	[]
true				GabiBot:YCW42MABYIF77MMD7DRI:USER_WAS_ASSIGNED_TO_AGENT	"Usuario asignado a agente"	""	""	"Te responderemos a la brevedad"	[]	[]
true				GabiBot:LZHQR4GVNOQW70PLBICR:USER_ENCOUNTER_NO_AGENTS	"Sin agentes disponibles"	""	""	"Te responderemos a la brevedad"	[]	[]
true				GabiBot:OG4ID2S8YSDPPFAPQ05F:GREETING	"Saludo"	"hola\r\ncomo va?\r\nbuen dia\r\nbuenas tardes\r\nbuenas noches"	""	"¡Hola${isEmpty(firstName)?then('', ' ' + firstName)}! Bienvenido a Gabi Bot\tOk!\t;)"	[]	[]
true				GabiBot:OG4ID2S8YSDPPFAPQ05F:FIRST_MESSAGE	"Mensaje inicial"	""	""	""	[]	[]
true				GabiBot:YCW42MABYIF77MMD7DRI:CLIENT_ACTION_ERROR	"Problema al ejecutar Acciones de Código"	""	""	"Te responderemos a la brevedad"	[]	[]
true				GabiBot:2NCOBTIHVF257W8NW1SU:GREETING	"Saludo"	"hola\r\ncomo va?\r\nbuen dia\r\nbuenas tardes\r\nbuenas noches"	""	"¡Hola${isEmpty(firstName)?then('', ' ' + firstName)}! Bienvenido a Gabi Bot\tOk!\t;)"	[]	[]
true				GabiBot:YCW42MABYIF77MMD7DRI:CLOSE_CONVERSATION	"Cerrar conversación"	""	""	""	[]	[]
true				GabiBot:GWVVDGT6YC3PX68WKBIC:ASSIGN_USER_TO_BOT	"Usuario asignado a chatbot"	""	""	""	[]	[]
true				GabiBot-gabi@botmaker.io-1569955004600	"Shortcut"	"shortcut"	""	"Texto short"	[]	[]
true				GabiBot-0d03c23c41197a2@bm.com-1608308204994	"prueba prestamo"	"test_pp"	""	"Carlos\r\nCarlos fin"	[dni]	[]
true				GabiBot:CAYJERJ234OUJD0HZN4Z:ASSIGN_USER_TO_BOT	"Usuario asignado a chatbot"	""	""	""	[]	[]
true				GabiBot:H5RRDAIFZXUJQVH7KWI3:FIRST_MESSAGE	"Mensaje inicial"	""	""	""	[]	[]
true				GabiBot:2A18P0WWJMC0IMG66HKR:USER_WAS_ASSIGNED_TO_AGENT	"Usuario asignado a agente"	""	""	"Te responderemos a la brevedad"	[]	[]
true				GabiBot:N75SQMWCFO1XV071OKJJ:USER_WAS_ASSIGNED_TO_AGENT	"Usuario asignado a agente"	""	""	"Te responderemos a la brevedad"	[]	[]
true				GabiBot:75WLOCD4WQB03JOV2EP2:GENERATIVE_CHATBOT_RESPONSE_INTENT	"Generative Chatbot Response Intent"	""	""	"Por favor, aguarda unos segundos...\tConsulta en proceso, espera unos segundos...\tConsultando base de conocimiento, aguarda unos segundos...\tObteniendo una respuesta, espera unos segundos...\r\nTemas relacionados ??"	[]	[]
true				GabiBot:2NCOBTIHVF257W8NW1SU:CLOSE_CONVERSATION	"Cerrar conversación"	""	""	""	[]	[]
true				GabiBot-ignacio@botmaker.io-1588869141227	"solo asignar a queue2"	"asigna q2"	""	"algo"	[]	[]
true				GabiBot:B2C7J886MX7NNJHCKK1D:GREETING	"Saludo"	"hola\r\ncomo va?\r\nbuen dia\r\nbuenas tardes\r\nbuenas noches"	""	"¡Hola${isEmpty(firstName)?then('', ' ' + firstName)}! Bienvenido a Gabi Bot\tOk!\t;)"	[]	[]
true				GabiBot:6NVRYSC2XRNCJIVY5F7Y:LOCATION_SENT	"El usuario ha enviado una ubicación"	""	""	""	[]	[]
true				GabiBot:IMGXAJBIVGWTDOFP41H7:FIRST_MESSAGE	"Mensaje inicial"	""	""	""	[]	[]
true				GabiBot-gabi@botmaker.io-1561389092535	"button_CA"	"buttonca"	""	""	[]	[]
true				GabiBot:ADUP6MA4IFXYMRI8TU1D:USER_ENCOUNTER_NO_AGENTS	"Sin agentes disponibles"	""	""	"En este momento no estamos atendiendo. Por favor inténtalo más tarde"	[]	[]
true				GabiBot-aa2fb92b4b5b983@bm.com-1623383350217	"nuevo"	""	""	""	[]	[]
true				GabiBot:GWVVDGT6YC3PX68WKBIC:LOCATION_SENT	"El usuario ha enviado una ubicación"	""	""	""	[]	[]
true				GabiBot:XVUN8P86GBXL5S6D5ZRL:USER_ENCOUNTER_NO_AGENTS	"Sin agentes disponibles"	""	""	"En este momento no estamos atendiendo. Por favor inténtalo más tarde"	[]	[]
true				GabiBot:QG1MTK8TWBCBD0JBMSW2:ONHOLD_ENDS	"Ha terminado el estado de espera del chat"	""	""	""	[]	[]
true				GabiBot:CAYJERJ234OUJD0HZN4Z:GREETING	"Saludo"	"hola\r\ncomo va?\r\nbuen dia\r\nbuenas tardes\r\nbuenas noches"	""	"¡Hola${isEmpty(firstName)?then('', ' ' + firstName)}! Bienvenido a Gabi Bot\tOk!\t;)"	[]	[]
true				GabiBot:B2C7J886MX7NNJHCKK1D:ASSIGN_USER_TO_BOT	"Usuario asignado a chatbot"	""	""	""	[]	[]
true				GabiBot:2NCOBTIHVF257W8NW1SU:ONHOLD_ENDS	"Ha terminado el estado de espera del chat"	""	""	""	[]	[]
true				GabiBot:EXPXS52N66BSQ1G38C7Z:LOCATION_SENT	"El usuario ha enviado una ubicación"	""	""	""	[]	[]
true				GabiBot:P2E6NCZP32P2IG7EPNBA:ASSIGN_USER_TO_BOT	"Usuario asignado a chatbot"	""	""	""	[]	[]
true				GabiBot:QG1MTK8TWBCBD0JBMSW2:ASSIGN_USER_TO_BOT	"Usuario asignado a chatbot"	""	""	""	[]	[]
true				GabiBot:2A18P0WWJMC0IMG66HKR:GENERATIVE_CHATBOT_RESPONSE_INTENT	"Generative Chatbot Response Intent"	""	""	"Por favor, aguarda unos segundos...\tConsulta en proceso, espera unos segundos...\tConsultando base de conocimiento, aguarda unos segundos...\tObteniendo una respuesta, espera unos segundos...\r\nTemas relacionados ??"	[]	[]
true				GabiBot:QG1MTK8TWBCBD0JBMSW2:CLIENT_ACTION_ERROR	"Problema al ejecutar Acciones de Código"	""	""	"Hubo un problema procesando su pedido, por favor, intentelo de nuevo más tarde."	[]	[]
true				GabiBot:00CCH1UBYYK82D1QDIH3:GREETING	"Saludo"	"hola\r\ncomo va?\r\nbuen dia\r\nbuenas tardes\r\nbuenas noches"	""	"¡Hola${isEmpty(firstName)?then('', ' ' + firstName)}! Bienvenido a Gabi Bot\tOk!\t;)"	[]	[]
true				GabiBot-gabi@botmaker.io-1562302191457	"awssdk"	"awssdk"	""	""	[]	[]
true				GabiBot-gabi@botmaker.io-1602824416912	"testca"	"testclientaction"	""	"fin ca"	[]	[]
false				GabiBot:messenger_RESPONSES	"Respuestas específicas para FB Messenger"	""	""	""	[]	[]
true				GabiBot:WNPE77IR80EXM8HIHVAU:GREETING	"Saludo"	"hola\r\ncomo va?\r\nbuen dia\r\nbuenas tardes\r\nbuenas noches"	""	"¡Hola${isEmpty(firstName)?then('', ' ' + firstName)}! Bienvenido a Gabi Bot\tOk!\t;)"	[]	[]
true				GabiBot:37ULNATFQ2AMLXB0ZSLF:USER_STARTS_WAITING_FOR_AGENT	"En espera de atención"	""	""	"Por favor aguarda. Pronto un agente se contactara contigo"	[]	[]
true				GabiBot:OG4ID2S8YSDPPFAPQ05F:USER_ENCOUNTER_NO_AGENTS	"Sin agentes disponibles"	""	""	"Te responderemos a la brevedad"	[]	[]
true				GabiBot:instagram_chat_RESPONSES	"Respuestas específicas para Instagram Chat"	""	""	"Elige una opción"	[]	[]
true				GabiBot:7H6SHTTL7LVCXJYFAO3F:ASSIGN_USER_TO_BOT	"Usuario asignado a chatbot"	""	""	""	[]	[]
true				GabiBot:CAYJERJ234OUJD0HZN4Z:USER_STARTS_WAITING_FOR_AGENT	"En espera de atención"	""	""	"Te responderemos a la brevedad"	[]	[]
true				GabiBot-fercaraffa@botmaker.io-1594823411294	"test imagen Belcorp"	"testimgbelcorp"	""	""	[]	[]
true				GabiBot:37ULNATFQ2AMLXB0ZSLF:ONHOLD_ENDS	"Ha terminado el estado de espera del chat"	""	""	""	[]	[]
true				GabiBot:IMGXAJBIVGWTDOFP41H7:USER_STARTS_WAITING_FOR_AGENT	"En espera de atención"	""	""	"Te responderemos a la brevedad"	[]	[]
true				GabiBot:IMGXAJBIVGWTDOFP41H7:GENERATIVE_CHATBOT_RESPONSE_INTENT	"Generative Chatbot Response Intent"	""	""	"Por favor, aguarda unos segundos...\tConsulta en proceso, espera unos segundos...\tConsultando base de conocimiento, aguarda unos segundos...\tObteniendo una respuesta, espera unos segundos...\r\nTemas relacionados ??"	[]	[]
true				GabiBot:VDMG2LY4JLF8MXJP8POG:CLOSE_CONVERSATION	"Cerrar conversación"	""	""	""	[]	[]
true				GabiBot-gabi@botmaker.io-1605695887773	"test_pago_wompi"	""	""	"Pago wompi realizado!!!!"	[]	[]
true				GabiBot:P2E6NCZP32P2IG7EPNBA:ANYTHING	"Mensaje por defecto"	""	""	"Te responderemos a la brevedad"	[]	[]
true				GabiBot:37ULNATFQ2AMLXB0ZSLF:GENERATIVE_CHATBOT_RESPONSE_INTENT	"Generative Chatbot Response Intent"	""	""	"Por favor, aguarda unos segundos...\tConsulta en proceso, espera unos segundos...\tConsultando base de conocimiento, aguarda unos segundos...\tObteniendo una respuesta, espera unos segundos...\r\nTemas relacionados ??"	[]	[]
true				GabiBot:48KNZNKIZFMDI8RY6SR5:USER_WAS_ASSIGNED_TO_AGENT	"Usuario asignado a agente"	""	""	"En este momento comienzas a ser atendido por un representante"	[]	[]
true				GabiBot:75WLOCD4WQB03JOV2EP2:USER_WAS_ASSIGNED_TO_AGENT	"Usuario asignado a agente"	""	""	"Te responderemos a la brevedad"	[]	[]
true				GabiBot:00CCH1UBYYK82D1QDIH3:ONHOLD_ENDS	"Ha terminado el estado de espera del chat"	""	""	""	[]	[]
true				GabiBot:P2E6NCZP32P2IG7EPNBA:DISAMBIGUATION_INTENT	"Mostrar opciones ambiguas"	""	""	"Encontré varios temas al respecto. ¿Estás queriendo decir algo de esto?"	[]	[]
true				GabiBot:WNPE77IR80EXM8HIHVAU:FIRST_MESSAGE	"Mensaje inicial"	""	""	"¡Bienvenido a Gabi Bot!\r\n¡Hola${isEmpty(firstName)?then('', ' ' + firstName)}! Bienvenido a Gabi Bot\r\nhola\r\nGracias por tu compra"	[]	[]
true				GabiBot:37ULNATFQ2AMLXB0ZSLF:LOCATION_SENT	"El usuario ha enviado una ubicación"	""	""	""	[]	[]
true				GabiBot:LZHQR4GVNOQW70PLBICR:CLOSE_CONVERSATION	"Cerrar conversación"	""	""	""	[]	[]
true				GabiBot:NRZBDV1K8YYI2WWSXLOX:CLIENT_ACTION_ERROR	"Problema al ejecutar Acciones de Código"	""	""	"Te responderemos a la brevedad"	[]	[]
true				GabiBot:LZHQR4GVNOQW70PLBICR:RUN_ALWAYS	"Ejecutar siempre"	""	""	""	[]	[]
